Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail
Klopfer;Eichberg 111;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 650 9402740;office@weingutklopfer.at
Klug (Hochgrail 117);Hochgrail 117;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81177;
Klug (Hochgrail 100);Hochgrail 100;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81719;info@klug-weingut.at
Klug Josef;Eichberg-Trautenburg 18;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6163;weingut.klug@aon.at
Klug vlg. Voitl;Steinreib 14;8511;Greisdorf;AT;Steiermark;Weststeiermark;+43 3463 6464;
Klöckl (Gruisla 7);Gruisla 7;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 664 7677689;weinbau-kloeckl@aon.at
Klöckl (Gruisla 13);Gruisla 13;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7259;
Knaus;Sulztal an der Weinstrasse 8;8461;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 1820565;office@biowein-knaus.at
Kobatl;Pichla 31;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 664 1295955;mike@kobatl.at
Kodolitsch;Kodolitschweg 9;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 664 1880182;weingut@kodolitsch.at
Kogler;Kranach 27;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 9540126;weingut.kogler@aon.at
Kohl Familie;Dorfstraße 17;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 650 4835053;office@kohl-weine.at
Kohlroser;Oberrakitsch 51;8480;Mureck;AT;Steiermark;Vulkanland Steiermark;+43 3472 8640;
Koleric;Wagendorf 110;8423;Sankt Veit am Vogau;AT;Steiermark;Südsteiermark;+43 3453 2578;
Kollar-Göbl;Hauptpl. 10;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2642;kollar.goebl@aon.at
Koller (Greith);Greith 11;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3563;koller@weingut-koller.at
Koller (Jörgen);Jörgen 40;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 7289;
Koller (Feldbaum);Feldbaum 35;8524;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2923;kontakt@koller-wein.at
Koller (Gutenacker);Gutenacker 5;8543;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 3060;
Kollerhof am Eichberg;Eichberg-Trautenburg 39;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 439;weinbau@kollerhof.com
Kolleritsch;Hauptplatz 4;8480;Mureck;AT;Steiermark;Vulkanland Steiermark;+43 3472 2233;office@kolleritsch.eu
Kolleritsch- Steintalkeller;Tieschen 5;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2305;office@kolleritsch.com
Korkisch;Siegersdorf 91;8222;Stubenberg;AT;Steiermark;Vulkanland Steiermark;+43 664 1001341;rkorkisch@aon.at
Koschak (Gauitsch);Gauitsch 26;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2237;
Koschak (Nestelberg);Nestelberg 43;8451;Heimschuh;AT;Steiermark;Südsteiermark;+43 3456 2401;koschak@aon.at
Kotnik;Schlossberg 14;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6855;
Kowald;Winzerweg 265;8282;Bad Loipersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 3517369;info@kowald-wein.at
Krainer (Zirknitz);Zirknitz 9;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81463;
Krainer (Kranach);Kranach 14;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 404;
Krainerhof;Zirknitz 9;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 82250;krainer@krainerhof.at
Krasser;Unterer Platz 4;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2810;
Kratzer;Am Kittenberg 11;8451;Heimschuh;AT;Steiermark;Südsteiermark;+43 3452 86055;info@weingut-kratzer.at
Kremser;Dietenberg 91;8563;Ligist;AT;Steiermark;Weststeiermark;+43 3143 3959;
Kremser- Greitbauer;Dietenberg 94;8563;Ligist;AT;Steiermark;Weststeiermark;+43 3143 2805;buschenschank@kremser-wein.at
Krenn;Edelsbach 49;8332;Feldbach;AT;Steiermark;Vulkanland Steiermark;+43 664 9146401;wein@krenn49.at
Krispel;Neusetz 29;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7862;office@krispel.at
Krottmayer;Kornriegl 4;8552;Aichberg;AT;Steiermark;Weststeiermark;+43 3466 43756;buschenschank@glirsch.at
Kröll;Eichberg 69;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 3455 6859;
Kugel;Am Grassnitzberg 33;8472;Straß in Steiermark;AT;Steiermark;Südsteiermark;+43 3453 2592;office@weinhof-kugel.at
Kugler;Sichartsberg 71;8511;Greisdorf;AT;Steiermark;Weststeiermark;+43 3463 6191;
Kuntner;Obergreith 48;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 3383;office@trinkgenuss.at
Kuruzzenschenke;Burgfeld 40;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 3089;konrad@kuruzzenschenke.at
Kwas;Krannach 28;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 676 5214352;
Kästenburg;Ratsch an d Weinstraße 66;8461;Ratsch an der Weinstraße;AT;Steiermark;Südsteiermark;+43 664 5353949;wein@kaestenburg.at
Kögl;Ratsch 59;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 4080272;info@weingut-koegl.com
Körbler-Zellegreis;Eichberg-Trbg. 83;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 411;
Kügerl;Wildbacherstraße 52;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2515;
Kürzl;Dietenberg 50;8563;Ligist;AT;Steiermark;Weststeiermark;+43 3143 2209;
Labanz;Oberhaag 34;8455;Oberhaag;AT;Steiermark;Südsteiermark;+43 664 3403956;wein@labanz.at
Lackner;Marktl 35;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7145;
Johann Lackner;Klein Gaisfeld 2;8564;Krottendorf-Gaisfeld;AT;Steiermark;Weststeiermark;+43 676 9464665;info@lackner-wein.at
Lackner-Tinnacher;Steinbach 12;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2142;weingut@tinnacher.at
Ladenhauf;Markt Hartmannsdorf 75;8311;Markt Hartmannsdorf;AT;Steiermark;Vulkanland Steiermark;+43 3114 2473;ladenhauf-wein@gmx.at
Laller;Pichla 11;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2251;
Lambauer;Greith 19;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2235;info@weingut-lambauer.at
Lampel;Tombach 21;8544;Pölfing-Brunn;AT;Steiermark;Weststeiermark;+43 3465 2768;
Lamperti - Oswald;Teichweg 42;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2210;
Lampl;Kopreinig 52;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 2459;
Angelika u. Franz Lampl-Küssner;Unterrosenberg 101;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3472 8441;buero.hkl@gmail.com
Lamprecht (Pössnitz);Pössnitz 41;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 5711167;weingut.lamprecht@aon.at
Lamprecht (Hürth);Hürth 37;8492;Halbenrain;AT;Steiermark;Vulkanland Steiermark;+43 664 3522080;info@weinbau-lamprecht.at
Lamprecht (Weinberg);Weinberg 26;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 2545;lamprecht@buschenschank.at
Landesversuchsanstalt für Obst und Weinbau Haidegg;Ragnitzstrasse 193;8047;Graz;AT;Steiermark;;+43 316 304610;leonhard.steinbauer@stmk.gv.at
Lang (Aschau);Aschau 29;8083;Sankt Stefan im Rosental;AT;Steiermark;;+43 3116 8309;info@weinhof-lang.at
Lang (Pischelsdorf);Pischelsdorf 48;8212;Pischelsdorf am Kulm;AT;Steiermark;Vulkanland Steiermark;+43 3113 2154;buschenschank-lang@gmx.at
Wolfgang Lang;St. Johann bei Herberstein 27;8222;Feistritztal;AT;Steiermark;Vulkanland Steiermark;+43 664 1135156;weingut@langwein.at
Langbauer;Gautsch 6;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2028;gernot.langbauer@gmx.at
Lex Langmann;Langegg 23;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 6100;weingut@weingut-langmann.at
Lazarus;Langegg 20;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 62000;
Leber;Waasen am Berg 50;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7541;info@weingut-leber.de
Legat;Eichberg - Trautenburg 9;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 230;info@weinbau-legat.at
Leitgeb;Trautmannsdorf 104;8343;Bad Gleichenberg;AT;Steiermark;Vulkanland Steiermark;+43 3159 2885;info@weingut-leitgeb.at
Leitinger;Oberer Steinwandweg 8;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 4600;
Leitl;Muggendorf 81;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7687;
Leitner;Schattauberg 79;8211;Ilztal;AT;Steiermark;Vulkanland Steiermark;+43 664 5488039;wein@leitnerhof.at
Lenhardt;Wuschan 39;8504;Preding;AT;Steiermark;Weststeiermark;+43 3136 82250;
Liebmann;Unterrosenberg 92;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3477 2327;
Liener;Labitschberg 27;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2190;office@weinbau-liener.at
Lieschnegg;Flötschach 22;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 307;weingut@lieschnegg.at
Lindenburg;Ratsch 36;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2675;weingut@lindenburg.at
Lipp;Etzendorf 12;8551;Wies;AT;Steiermark;Weststeiermark;+43 3465 3984;
List;Siebing 17;8481;St. Veit/Südsteiermark;AT;Steiermark;Vulkanland Steiermark;+43 3472 8279;listwein@aon.at
Loacker Heurigerhof;Reiteregg 28;8151;Sankt Bartholomä;AT;Steiermark;;+43 3123 39931;
Der Locknbauer;Pirchla 58;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 664 1690787;lukas@locknbauer.at
Gansrieglhof Loder- Taucher;Poschitz 18a;8160;Weiz;AT;Steiermark;;+43 664 3071777;info@gansrieglhof.at
Michi Lorenz;Einöd 8;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 664 2422748;wein@michilorenz.at
Ludwigshof Zierer;Eckberg 25;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2475;ludwigshof@aon.at
Machater;Gundersdorf 3;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81649;info@machater.at
Mahler;Teichweg 52;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 6703;
Mahorko;Glanz 82;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 7062206;weingut@mahorko.at
Maier;Eichberg- Trautenburg 102;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 3027;
Maitz Wolfgang;Ratsch 45;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 3944787;weingut@maitz.co.at
Malli;Einöd;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3159;office@weingut-malli.at
Malli Karl;Tombach 3;8544;Pölfing-Brunn;AT;Steiermark;Weststeiermark;+43 3456 3322;
Mally;Feldbaum 21;8524;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 664 7623293;weinbau.mally@gmail.com
Marko (Ottenberg);Ottenberg 3;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 4608721;info@marko-weingut.at
Marko (Eichberg-Trautenburg);Eichberg-Trautenburg 99;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 376;
Markowitsch;Altneudörfl 144;8490;Bad Radkersburg;AT;Steiermark;Vulkanland Steiermark;+43 3476 2839;buschenschank.markowitsch@aon.at
Marx;Sulzbach 8;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 337;
Masser;Pössnitz 39;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 324;
Maurer am Hohenberg;Hohenberg 34;8200;Gleisdorf;AT;Steiermark;Vulkanland Steiermark;+43 3112 2005;office@weingut-maurer.com
Mauthner- Reichmann;Marktplatz 7;8551;Wies;AT;Steiermark;Weststeiermark;+43 3465 2473;info@kirchenwirt-wies.at
Meister;Altenmarkt 47;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 3153 7355;
Melbinger;Wetzelsdorf 50;8330;Feldbach;AT;Steiermark;Vulkanland Steiermark;+43 3152 7923;office@weinbau-melbinger.at
Melcher - Schloss Gamlitz;Eckberger Weinstraße 32;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2363;weingut@melcher.at
Menhard;Pössnitz 70;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6584;
Menhart;Am Frauenberg 10;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 699 17334322;familie@weinbau-menhart.at
Messner;Tieschen 36;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2603;
Michael am Rosenberg;Rosenberg 35;8160;Weiz;AT;Steiermark;;+43 664 43432636;michael@weingut-michael.at
Monschein Weinhof;Schwabau 21;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 664 1547296;gut@wein-monschein.at
Moser (Großwalz);Großwalz 81;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 676 9531530;office@weingut-moser.at
Moser (Flattendorf-St. Anna);Flattendorf-St. Anna 121;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3335 2920;moserwein@aon.at
Muster Maria & Sepp;Schlossberg 38;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 70053;info@weingutmuster.com
Muster Poschgan;Pössnitz 46;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 255;info@musterweine.at
Muster-Reiterer;Hamerlinggasse 3;8010;Graz;AT;Steiermark;;+43 316 80501435;michael.simon@steiermark.wine
Muster-Trautenhof;Pössnitz 51;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3456 6582;info@weingutmuster.at
Muster.gamlitz / Domaine 1196;Steinbach 35;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 20833;office@1196.at
Mörth;Guntschenberg 18;8551;Mitterlimberg;AT;Steiermark;Weststeiermark;+43 3466 42600;
Mörth-Gross;Bösenbacherstr. 32;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 3211;
Mörth-Pommer;Oberfahrenbach 60;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2260;
Müller Klöch;Klöch 51;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7160;mail@weingut-mueller.at
Müller vlg. Kraßhoisl;Kraß 80;8551;Wies;AT;Steiermark;Weststeiermark;+43 699 81409885;weingut.josefmueller@gmail.com
Narat-Zitz;Pössnitz 67;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 676 3383558;office@narat-zitz.at
Nekrep;Eckberg 72;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2248;info@weinhof-nekrep.at
Neubauer (Am Weinberg);Am Weinberg 1;8472;Spielfeld;AT;Steiermark;Südsteiermark;+43 3453 2651;weingut.neubauer@aon.at
Neubauer (Jörgen);Jörgen 15;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 7134;info@weinhof-neubauer.at
NeueHeimat;Sernau 29;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 66164;willkommen@neueheimat.wine
Neuherz;Edersgraben 2;8330;Feldbach;AT;Steiermark;Vulkanland Steiermark;+43 664 7660759;christian@neuherzwein.at
Neumeister;Kronnersdorf 147;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 8308;weingut@neumeister.cc
Niederl;Unter Auersbach 23;8342;Gnas;AT;Steiermark;Vulkanland Steiermark;+43 3151 2081;
Nowak;Rittschein Kögeln- Weg 53;8362;Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;+43 3387 2377;wein@weinhof-nowak.at
Nöhrer;Safenauerstrasse 112;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 64963;
Oberbichler;Neuberg 72;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81984;
Obsthof Retter;Winzendorf 142;8225;Pöllau;AT;Steiermark;Vulkanland Steiermark;+43 3335 41310;office@obsthof-retter.at
Ofner Ludmilla;Dietenberg 84;8563;Ligist;AT;Steiermark;Weststeiermark;+43 3143 3054;
Oswald;Hof 50;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7130;
Oswald vlg. Musger;Kleinklein 6;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2513;gabriel.oswald@gmx.net
Der PEISERHOF ferien.wein.gut;Haiden 50;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 42414;info@peiserhof.at
Paar Anton;Flattendorf 47;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 64323;
Pachler;Größing 7;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2470;
Pack;Penzendorf 149;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 664 3833060;alois.pack@weinbau-pack.at
Palz;Tieschen 121;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2814;birgit_holler@hotmail.com
Palz Mathilde;Klöchberg 45;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2311;office@gasthof-palz.at
Palz Rudolf;Klöchberg 55;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2590;
Peter Panitsch GmbH;Seebachergasse 11;8073;Feldkirchen bei Graz;AT;Steiermark;;+43 316 291366;office@peterpanitsch.at
Papst Johann;Nr. 47;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 3385 7776;
Paschek;Eichberg Trautenburg 57;8454;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3455 290;kontakt@weingut-paschek.at
Patrick Niggas;Hochgrail 71;8511;Sankt Stefan ob Stainz;AT;Steiermark;Weststeiermark;+43 664 1406782;wein@patrick-niggas.at
Andrea und Stefan Pauritsch;Kogl 29;8551;Wies;AT;Steiermark;Weststeiermark;+43 664 3518582;weingut@pauritsch.com
Peinsipp Familie;Schattauberg 20;8211;Ilztal;AT;Steiermark;Vulkanland Steiermark;+43 3113 2464;office@weinhof-peinsipp.at
Peitler;Schlossberg 127;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6644;wein@spitzypeitler.at
Perner Anton u. Isabella;Unterlupitscheni 38;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 5115631;genuss@weingut-perner.at
Pfeifer;Waltra 24;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 5111265;office@pfeifer-weingut.at
Pfeifer Annaberg;Annaberg 44;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 2343383;info@pfeifer.wine
Pichler Franz;Am Leitersdorfberg 64;8271;Bad Waltersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 2207411;info@weinhof-pichler.com
Pichler-Schober;Mitteregg 26;8505;Sankt Nikolai im Sausal;AT;Steiermark;Weststeiermark;+43 3456 3471;weingut@pichler-schober.at
Familie Pieber;Wagerberg 75;8271;Bad Waltersdorf;AT;Steiermark;Vulkanland Steiermark;+43 3333 2401;buschenschank-pieber@aon.at
Pilch;Ottenberg 34;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2582;info@weingut-pilch.at
Pilz;Gschmaier bei Ilz 112;8265;Großsteinbach;AT;Steiermark;Vulkanland Steiermark;+43 3386 8280;office@weingut-pilz.at
Plank August;Poppenforst 6;8542;Sankt Peter im Sulmtal;AT;Steiermark;Weststeiermark;+43 3467 8450;office@weingut-plank.com
Platzer;Pichla 25;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2331;platzer@weinhof-platzer.at
Ploder-Rosenberg;Unterrosenberg 86;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 664 5011682;office@ploder-rosenberg.at
Pock;Karla 1;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 664 7612116;wein@pock-wein.at
Wein vom Pock - Fabian Pock;Annaberg 24;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 1049566;office@weinvompock.at
Polt;Weinberg 91;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 3661;
Polz (Ried Fuggaberg);Ried Fuggaberg 123;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3136 81294;
Polz (Am Grassnitzberg);Am Grassnitzberg 39;8472;Straß in Steiermark;AT;Steiermark;Südsteiermark;+43 3453 23010;weingut@weingutpolz.at
Polz-Kiefer;Grassnitzberg 59;8472;Graßnitzberg;AT;Steiermark;Südsteiermark;+43 3453 4650;
Pongratz (Sonnleitenweg);Sonnleitenweg 73;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 676 3379652;wein@pongratz.cc
Pongratz (Glashüttenstrasse);Glashüttenstrasse 135;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 2080;
Pongratz Franz;Labitschberg 30;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 6227;kontakt@wein-pongratz.at
Posch;Romatschachen 64;8212;Pischelsdorf am Kulm;AT;Steiermark;Vulkanland Steiermark;+43 3113 2086;kontakt@posch-weine.at
Poscharnig;Grosswalz 19;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6139;buschenschank@ruadl.at
Postl;Schlossberg 2;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 365;
Potzinger;Gabersdorf 12;8424;Gabersdorf;AT;Steiermark;Südsteiermark;+43 664 5216444;potzinger@potzinger.at
Prattes vlg. Schwab;Pitschgauegg 22;8544;Sankt Martin im Sulmtal;AT;Steiermark;Weststeiermark;+43 3465 2757;
Pregartner;Wolfgruben 73;8200;Gleisdorf;AT;Steiermark;Vulkanland Steiermark;+43 3112 35970;weinhof@pregartner.com
Prettner;Sulztal 16;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2561;
Primus;Am Grassnitzberg 15;8472;Straß in Steiermark;AT;Steiermark;Südsteiermark;+43 3453 3911;weingut@primus.cc
Pronegg;Remschnigg 62;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3455 7695;
Pronegg - Apfel- Kürbis-Ferienhof;Fötschach 40;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6572;info@ferienhof-pronegg.at
Pronegg- Kristeindl;Kranach 5;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 680 2313005;winzerzimmer@pronegg.com
Prugmaier;Neudorf an der Mur 46;8424;Gabersdorf;AT;Steiermark;Südsteiermark;+43 3452 82667;
Pugl;Nestelberg 32;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2662;wein@weingut-pugl.com
Puntigam;Neusetz 66;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7582;
Puntigam August;Bairisch-Kölldorf 1;8344;Bad Gleichenberg;AT;Steiermark;Vulkanland Steiermark;+43 3159 3188;
Pures Leben;Grassnitzberg 36;8472;Graßnitzberg;AT;Steiermark;Südsteiermark;+43 664 2155044;info@puresleben.at
Pusswald Franz;Untere Brühlgasse 15;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 3332 62074;kontakt@weingut-pusswald.at
Pölzl;Klöchberg 57;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2388;
Pühringer;Weidenbach 40;8551;Mitterlimberg;AT;Steiermark;Weststeiermark;+43 3466 42100;
Raab-Holzer;Oberlupitscheni 30;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2732;
Radl;Gruisla 71;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 30003;info@hausradl.at
Raidl;Fröhlichberg 64;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 3153 8352;
Rathausky;Glashüttenstrasse 142;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 3742;
Rauch Johannes;Perbersdorf 30;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 664 2808437;rauch@weinhof-rauch.at
Rauschenberger;Schubertstrasse 12;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 83531;
Rebenhof - Hartmut Aubell;Ottenberg 38;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 25750;der@rebenhof.at
Regele;Ewitsch 34;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2426;christian.maurer@regele.com
Johann Reicher;Lichtenegg 3;8113;Sankt Bartholomä;AT;Steiermark;;+43 3123 2280;johann.reicher@gmx.at
Reichmann;Khünegg 54;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 664 4230116;wein@reichmann.st
Reinisch;Wagnastrasse 147;8435;Wagna;AT;Steiermark;Südsteiermark;+43 3452 71213;office@weingut-reinisch.at
Reiterer (Eichberg-Trautenburg);Eichberg-Trautenburg 36;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 1845168;weingut-reiterer@aon.at
Reiterer (Einöd);Einöd 10;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2537;weingut@kitzecker-reiterer.at
Christian Reiterer;Lamberg 11;8551;Wies;AT;Steiermark;Weststeiermark;+43 3465 3950;info@weingut-reiterer.com
Renner (Langegg);Langegg 24;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 448;
Renner (Pössnitz);Pössnitz 79;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6483;office@weingutrenner.at
Repolusk Roland und Karl-Philipp;Glanz an der Weinstraße 41;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 313;weingut@repolusk.at
Resch vlg. Longus;Geipersdorfweg 18, Wildbach;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 3316;office@weingut-resch.at
Retter-Kneissl;Löffelbach;8230;Hartberg;AT;Steiermark;Vulkanland Steiermark;+43 664 1042199;weinbau@retter-kneissl.at
Riegelnegg Olwitschhof;Steinbach 62;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 6263;weingut@riegelnegg.at
Riegelnegg Stammhaus;Steinbach 49;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 4055108;wein@riegelnegg-stammhaus.at
